,x,y,waveform,cluster_id,cluster_color
289,7.63697,-0.90148467,"[ 6.94431737e-02  7.60040507e-02  8.08852911e-02  8.81530046e-02
  9.63205099e-02  1.01403527e-01  1.09663703e-01  1.20439149e-01
  1.20842583e-01  1.22656524e-01  1.39522433e-01  1.40381515e-01
  1.28600389e-01  1.56074822e-01  1.69958428e-01  1.17475070e-01
  1.45094797e-01  2.26812616e-01 -4.23845872e-02 -6.71475649e-01
 -1.00000000e+00 -7.49345779e-01 -4.02865946e-01 -2.74648875e-01
 -1.94946080e-01 -8.35955739e-02 -3.37719433e-02 -2.52729319e-02
 -1.32690053e-04  1.80724617e-02  2.24183053e-02  4.22226936e-02
  7.32375085e-02  9.64996293e-02  1.13247342e-01  1.24828234e-01
  1.26040652e-01  1.20210171e-01  1.14343397e-01  1.08994678e-01]",0,[0.18995 0.07176 0.23217 1.     ]
290,0.031780686,10.913099,"[ 0.0326678   0.03337879  0.03341147  0.03395514  0.03433558  0.03217262
  0.03136881  0.03427437  0.03224317  0.02762127  0.0333738   0.03452815
  0.02007299  0.02512509  0.04019927  0.01116444  0.00142848  0.0349021
 -0.15997209 -0.68225634 -1.         -0.6884355  -0.14521442  0.100072
  0.1166195   0.15033308  0.18850596  0.18919043  0.20525447  0.2355551
  0.24258724  0.23602363  0.22673437  0.20135383  0.1616108   0.12177768
  0.0851061   0.05138062  0.02470042  0.00632761]",3,[0.64362 0.98999 0.23356 1.     ]
291,10.841188,3.3678133,"[ 0.07756676  0.08169238  0.08705283  0.09713758  0.10240176  0.1015145
  0.11146642  0.12311319  0.11532958  0.11950432  0.14490753  0.12941079
  0.10997188  0.16715667  0.16717958  0.07352464  0.19262658  0.4107945
  0.07707852 -0.6921896  -1.         -0.732582   -0.535682   -0.52776486
 -0.42682534 -0.28737563 -0.23831196 -0.18004309 -0.05886143  0.05512
  0.13686368  0.1943544   0.21667288  0.214031    0.20954295  0.20331977
  0.19042194  0.17689735  0.16604564  0.15507296]",2,[0.10342 0.896   0.715   1.     ]
292,10.756344,0.90422595,"[ 0.09202608  0.09701376  0.10423665  0.11207254  0.11302222  0.11376608
  0.1253347   0.13591869  0.13389015  0.13704208  0.1488811   0.14346756
  0.13615862  0.15466206  0.15265958  0.12526876  0.15193872  0.11346912
 -0.24914119 -0.78309363 -1.         -0.8128288  -0.57138944 -0.44193017
 -0.3276104  -0.20653889 -0.12842363 -0.07208069 -0.00880934  0.04484553
  0.08435456  0.12561975  0.16742012  0.19666705  0.21183677  0.22062324
  0.22601654  0.22425577  0.21363163  0.1983082 ]",5,[0.89298 0.26981 0.03993 1.     ]
293,-0.18965766,10.598245,"[ 0.03561867  0.03716202  0.0376019   0.03989842  0.04263847  0.04182032
  0.04310684  0.04846118  0.04600972  0.04198939  0.05126365  0.04924782
  0.03050807  0.04512145  0.06148201  0.01453541  0.02350566  0.11538761
 -0.07618518 -0.65659326 -1.         -0.681439   -0.14331059  0.12460493
  0.19476819  0.2317266   0.21371403  0.16158526  0.13870834  0.12593181
  0.10010973  0.08266289  0.07592164  0.06556122  0.05573367  0.05106502
  0.04530108  0.03780638  0.03270727  0.02888181]",3,[0.64362 0.98999 0.23356 1.     ]
294,-0.061042268,9.741841,"[-4.6533142e-04 -6.7196792e-04 -3.1530210e-03 -2.8762009e-03
  1.9910876e-03  3.6370913e-03  5.2302767e-04 -1.8034258e-04
 -3.4850948e-03 -1.0642297e-02 -4.3248530e-03  1.9145025e-03
 -1.6288456e-02 -1.4319951e-02  1.6017409e-02 -1.4270458e-02
 -4.5626029e-02  3.0676873e-02 -8.4796995e-02 -6.3596892e-01
 -1.0000000e+00 -5.1997715e-01  2.7903390e-01  5.4448324e-01
  3.8199767e-01  2.8773746e-01  2.8214151e-01  2.4218099e-01
  2.3430431e-01  2.6916969e-01  2.6919881e-01  2.3701812e-01
  1.9929121e-01  1.3740490e-01  5.4922901e-02 -1.5327630e-02
 -6.4979985e-02 -1.0224313e-01 -1.2535673e-01 -1.3260777e-01]",3,[0.64362 0.98999 0.23356 1.     ]
295,10.322052,-0.7534258,"[ 0.07111733  0.07955106  0.08612841  0.0910027   0.09432499  0.09675104
  0.10298502  0.10930612  0.10652499  0.10635511  0.11783659  0.1159834
  0.10518522  0.12375167  0.12995043  0.08965747  0.11389817  0.15630156
 -0.11959706 -0.6957088  -1.         -0.7942902  -0.49169132 -0.36600527
 -0.2731144  -0.14281668 -0.06123253 -0.01704225  0.03977816  0.08789784
  0.11865084  0.15541776  0.19056833  0.20550142  0.2066635   0.20293714
  0.193023    0.17904969  0.1639435   0.14521608]",1,[0.27381 0.52069 0.97899 1.     ]
296,8.326933,-0.12727907,"[ 0.08322658  0.09140145  0.09718563  0.1040045   0.11049027  0.11438873
  0.1214907   0.12921937  0.12849791  0.13358575  0.15012205  0.14616331
  0.13598289  0.16492319  0.17006439  0.12147975  0.17276677  0.25604886
 -0.03908855 -0.67576396 -1.         -0.77689326 -0.47475034 -0.36960393
 -0.29679698 -0.18936534 -0.13440056 -0.11026543 -0.06411593 -0.02110504
  0.00676691  0.0409172   0.07676893  0.10217686  0.1241262   0.14498429
  0.15812135  0.16456148  0.16765115  0.16564794]",0,[0.18995 0.07176 0.23217 1.     ]
297,9.507183,-0.09806307,"[ 0.08465499  0.09006461  0.09424093  0.10003992  0.10604454  0.11079021
  0.11855651  0.12638108  0.12647428  0.1285474   0.13852356  0.13715415
  0.13083072  0.14375648  0.13910964  0.10693701  0.13355924  0.13421434
 -0.17803104 -0.7298504  -1.         -0.79155743 -0.47230664 -0.31166014
 -0.22294243 -0.13769555 -0.09739125 -0.07495574 -0.02394203  0.02574412
  0.0463024   0.06204936  0.09305426  0.1310193   0.16506939  0.19002226
  0.20141442  0.19999328  0.19229726  0.1822255 ]",1,[0.27381 0.52069 0.97899 1.     ]
298,10.763064,-1.591421,"[ 0.07950622  0.08546109  0.08951213  0.09546435  0.10287328  0.10809732
  0.11393473  0.11928704  0.11824173  0.12083067  0.1307493   0.1262941
  0.11783848  0.13367356  0.13206951  0.09805993  0.11385041  0.09152718
 -0.23261413 -0.75873995 -1.         -0.8059123  -0.5117099  -0.33665365
 -0.20948933 -0.08905537 -0.01640754  0.02457184  0.06893335  0.10782125
  0.1322503   0.15235937  0.16994335  0.17906414  0.18105233  0.1794453
  0.17236385  0.15935315  0.14647102  0.13644485]",1,[0.27381 0.52069 0.97899 1.     ]
